Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,CN,4,2021,58,F,false,JMC,JANUARY,2024,Lecture 9
1,CN,4,2021,58,F,false,Python,JULY,2025,Lecture 8
2,IN,12,2015,30,F,false,JMC,APRIL,2016,Lecture 2
2,IN,12,2015,30,F,false,Python,JANUARY,2019,Lecture 9
3,CN,1,2017,68,M,true,JMC,MARCH,2022,Lecture 7
3,CN,1,2017,68,M,true,Python,JUNE,2019,Lecture 6
4,GB,10,2020,73,F,false,JMC,MAY,2021,Lecture 14
4,GB,10,2020,73,F,false,Python,NOVEMBER,2021,Lecture 5
5,IN,8,2022,20,U,true,JMC,OCTOBER,2024,Lecture 6
5,IN,8,2022,20,U,true,Python,JANUARY,2022,Lecture 8
